,assists,assistsTurnoverRatio,benchPoints,biggestLead,biggestLeadScore,biggestScoringRun,biggestScoringRunScore,blocks,blocksReceived,fastBreakPointsAttempted,fastBreakPointsMade,fastBreakPointsPercentage,fieldGoalsAttempted,fieldGoalsEffectiveAdjusted,fieldGoalsMade,fieldGoalsPercentage,foulsOffensive,foulsDrawn,foulsPersonal,foulsTeam,foulsTechnical,foulsTeamTechnical,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,leadChanges,minutes,minutesCalculated,points,pointsAgainst,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsInThePaintAttempted,pointsInThePaintMade,pointsInThePaintPercentage,pointsSecondChance,reboundsDefensive,reboundsOffensive,reboundsPersonal,reboundsTeam,reboundsTeamDefensive,reboundsTeamOffensive,reboundsTotal,secondChancePointsAttempted,secondChancePointsMade,secondChancePointsPercentage,steals,threePointersAttempted,threePointersMade,threePointersPercentage,timeLeading,timesTied,trueShootingAttempts,trueShootingPercentage,turnovers,turnoversTeam,turnoversTotal,twoPointersAttempted,twoPointersMade,twoPointersPercentage,BOS,Opppnent,WL
41,18,1.28571428571429,21,23,87-110,8,33-37,10,4,16,10,0.625,95,0.563157894736842,45,0.473684210526316,2,16,19,17,1,0,8,7,0.875,1,PT240M00.00S,PT240M,114,97,23,6,44,42,22,0.5238095238095241,17,45,10,55,6,1,5,61,12,7,0.583333333333333,4,36,17,0.472222222222222,PT32M36.00S,2,98.52,0.578562728380024,14,0,14,59,28,0.47457627118644097,114,97,1
42,31,2.81818181818182,47,25,91-116,9,58-79,7,2,11,7,0.636363636363636,92,0.619565217391304,48,0.521739130434783,3,22,22,19,0,0,20,14,0.7,5,PT240M00.00S,PT240M,128,111,18,26,52,37,26,0.7027027027027031,15,25,9,34,10,3,7,44,9,4,0.444444444444444,14,42,18,0.428571428571429,PT39M15.08S,2,100.8,0.634920634920635,10,1,11,50,30,0.6,128,111,1
43,22,1.69230769230769,20,14,39-53,7,7-14,8,1,5,4,0.8,85,0.582352941176471,43,0.505882352941176,0,18,15,15,0,1,20,17,0.85,0,PT240M00.00S,PT240M,116,107,18,21,50,38,25,0.6578947368421051,16,31,13,44,2,1,1,46,12,7,0.583333333333333,7,36,13,0.361111111111111,PT47M35.00S,1,93.8,0.618336886993604,13,0,13,49,30,0.612244897959184,116,107,1
44,23,1.53333333333333,21,10,108-118,11,18-4,9,4,9,3,0.333333333333333,84,0.55952380952381,38,0.452380952380952,1,18,13,12,0,0,26,26,1.0,9,PT240M00.00S,PT240M,120,113,9,19,34,32,17,0.53125,13,33,12,45,8,4,4,53,12,5,0.416666666666667,9,44,18,0.409090909090909,PT15M16.00S,7,95.44,0.628667225481978,13,2,15,40,20,0.5,120,113,1
45,24,3.0,24,20,79-99,10,79-99,5,3,8,6,0.75,91,0.631868131868132,48,0.527472527472528,0,20,19,19,2,0,21,18,0.857142857142857,6,PT240M00.00S,PT240M,133,123,13,14,52,39,26,0.666666666666666,13,26,8,34,6,2,4,40,9,6,0.666666666666666,8,47,19,0.404255319148936,PT42M36.98S,6,100.24,0.66340782122905,7,1,8,44,29,0.6590909090909091,133,123,1
46,27,1.5,21,9,55-46,12,55-46,9,4,10,4,0.4,97,0.536082474226804,46,0.474226804123711,4,15,19,15,0,0,12,8,0.666666666666666,16,PT240M00.00S,PT240M,112,122,10,10,56,44,28,0.636363636363636,20,43,13,56,10,2,8,66,14,8,0.5714285714285711,5,41,12,0.292682926829268,PT13M20.00S,15,102.28,0.547516621040282,17,1,18,56,34,0.607142857142857,112,122,0
47,25,1.25,30,8,36-44,8,99-95,8,5,11,8,0.7272727272727271,77,0.61038961038961,39,0.506493506493506,0,24,18,18,2,0,36,31,0.861111111111111,16,PT240M00.00S,PT240M,125,119,19,26,42,35,21,0.6,14,36,10,46,6,2,4,52,8,5,0.625,10,33,16,0.484848484848485,PT27M13.94S,17,92.84,0.673201206376562,20,0,20,44,23,0.522727272727273,125,119,1
48,36,2.25,29,35,81-116,12,13-25,9,7,14,7,0.5,90,0.638888888888889,47,0.522222222222222,2,13,18,16,0,0,12,9,0.75,2,PT240M00.00S,PT240M,124,97,16,13,46,35,23,0.6571428571428569,16,41,11,52,9,3,6,61,9,6,0.666666666666666,6,49,21,0.428571428571429,PT42M07.00S,5,95.28,0.65071368597817,16,0,16,41,26,0.634146341463415,124,97,1
49,24,1.84615384615385,29,20,58-78,8,29-33,3,4,9,2,0.222222222222222,95,0.510526315789474,42,0.442105263157895,4,17,19,15,0,0,20,16,0.8,0,PT240M00.00S,PT240M,113,103,8,26,46,40,23,0.575,17,40,18,58,8,2,6,66,16,7,0.4375,9,47,13,0.276595744680851,PT47M43.00S,0,103.8,0.544315992292871,12,1,13,48,29,0.604166666666667,113,103,1
50,17,1.13333333333333,24,12,60-48,14,62-64,4,3,10,5,0.5,76,0.453947368421053,31,0.407894736842105,5,28,18,13,2,0,37,27,0.7297297297297299,7,PT240M00.00S,PT240M,96,113,15,25,40,34,20,0.5882352941176471,8,27,4,31,16,5,11,47,6,4,0.666666666666666,10,29,7,0.241379310344828,PT26M41.00S,3,92.28,0.5201560468140439,14,1,15,47,24,0.5106382978723399,96,113,0
51,27,1.8,31,21,33-54,10,0-10,5,2,12,5,0.416666666666667,84,0.625,44,0.5238095238095241,1,19,15,14,1,0,17,14,0.823529411764706,0,PT240M00.00S,PT240M,119,116,12,14,46,34,23,0.676470588235294,9,39,4,43,4,1,3,47,5,4,0.8,3,42,17,0.40476190476190504,PT47M50.00S,0,91.48,0.65041539134237,15,0,15,42,27,0.642857142857143,119,116,1
52,19,1.26666666666667,29,18,53-35,10,53-35,8,7,6,3,0.5,97,0.515463917525773,42,0.43298969072165,1,18,15,14,0,0,28,18,0.642857142857143,7,PT265M00.00S,PT265M,118,121,9,12,46,36,23,0.638888888888889,20,37,11,48,13,1,12,61,10,7,0.7,6,50,16,0.32,PT40M48.02S,6,109.32,0.539699963410172,13,2,15,47,26,0.553191489361702,118,121,0
53,20,1.17647058823529,27,10,50-40,9,33-27,10,5,8,3,0.375,77,0.532467532467532,35,0.45454545454545503,8,21,19,11,1,0,25,20,0.8,18,PT240M00.00S,PT240M,102,100,9,18,42,42,21,0.5,12,36,9,45,10,4,6,55,10,5,0.5,6,31,12,0.387096774193548,PT38M17.00S,7,88.0,0.579545454545455,17,0,17,46,23,0.5,102,100,1
